,image_name,subject_id,dbscan_count,dbscan_noise,dbscan_silouette_score,dbscan_BIC_score,eps,min_samples
16,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.3,3
17,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.3,5
18,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.3,8
19,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.3,10
20,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.4,3
21,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.4,5
22,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.4,8
23,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.4,10
24,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.5,3
25,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.5,5
26,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.5,8
27,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.5,10
0,ESCG01_165.jpg,72373082,5,217,-0.6062580920975946,,0.01,3
1,ESCG01_165.jpg,72373082,0,234,,,0.01,5
2,ESCG01_165.jpg,72373082,0,234,,,0.01,8
3,ESCG01_165.jpg,72373082,0,234,,,0.01,10
4,ESCG01_165.jpg,72373082,18,27,0.5375039519022448,,0.05,3
5,ESCG01_165.jpg,72373082,13,51,0.4510620945824146,,0.05,5
6,ESCG01_165.jpg,72373082,11,96,0.15416863193560285,,0.05,8
7,ESCG01_165.jpg,72373082,9,133,-0.10808549762141835,,0.05,10
8,ESCG01_165.jpg,72373082,15,12,0.6859600995121112,,0.1,3
9,ESCG01_165.jpg,72373082,15,12,0.6859600995121112,,0.1,5
10,ESCG01_165.jpg,72373082,14,19,0.6522856204253762,,0.1,8
11,ESCG01_165.jpg,72373082,12,37,0.543552222345388,,0.1,10
12,ESCG01_165.jpg,72373082,7,5,0.49137003461972206,,0.2,3
13,ESCG01_165.jpg,72373082,7,5,0.49137003461972206,,0.2,5
14,ESCG01_165.jpg,72373082,6,10,0.47003619413215536,,0.2,8
15,ESCG01_165.jpg,72373082,5,20,0.5847453442853895,,0.2,10
16,ESCG01_165.jpg,72373082,5,1,0.6261371690318025,,0.3,3
17,ESCG01_165.jpg,72373082,4,4,0.6389719605486454,,0.3,5
18,ESCG01_165.jpg,72373082,3,9,0.6624887244753976,,0.3,8
19,ESCG01_165.jpg,72373082,3,9,0.6624887244753976,,0.3,10
20,ESCG01_165.jpg,72373082,5,0,0.6389719605486454,,0.4,3
21,ESCG01_165.jpg,72373082,4,4,0.6389719605486454,,0.4,5
22,ESCG01_165.jpg,72373082,3,9,0.6624887244753976,,0.4,8
23,ESCG01_165.jpg,72373082,3,9,0.6624887244753976,,0.4,10
24,ESCG01_165.jpg,72373082,4,0,0.7107890057181434,,0.5,3
25,ESCG01_165.jpg,72373082,3,4,0.7107890057181434,,0.5,5
