subject_id,data.no,data.yes
72333557,21.0,1.0
72333558,22.0,0.0
72333559,19.0,2.0
72333560,22.0,0.0
72333561,21.0,0.0
72333562,22.0,0.0
72333563,21.0,1.0
72333564,22.0,0.0
72333565,21.0,0.0
72333566,18.0,3.0
72333567,20.0,2.0
72333568,22.0,0.0
72333569,20.0,1.0
72333570,21.0,0.0
72333571,21.0,0.0
72333572,20.0,1.0
72333573,21.0,0.0
72333574,21.0,0.0
72333575,21.0,0.0
72333576,22.0,0.0
72333577,21.0,2.0
72333578,21.0,1.0
72333579,23.0,0.0
72333580,21.0,0.0
72333581,23.0,0.0
72333582,21.0,0.0
72333583,22.0,0.0
72333584,22.0,0.0
72333585,20.0,1.0
72333586,21.0,0.0
72333587,21.0,0.0
72333588,20.0,1.0
72333589,22.0,0.0
72333590,21.0,0.0
72333591,21.0,0.0
72333592,21.0,0.0
72333593,21.0,0.0
72333594,22.0,0.0
72333595,21.0,0.0
72333596,22.0,0.0
72333597,20.0,1.0
72333598,22.0,0.0
72333599,18.0,3.0
72333600,21.0,0.0
72333601,20.0,1.0
72333602,21.0,0.0
72333603,21.0,0.0
72333604,17.0,4.0
72333605,20.0,1.0
72333606,23.0,0.0
72333607,20.0,1.0
72333608,3.0,18.0
72333609,20.0,1.0
72333610,21.0,0.0
72333611,22.0,0.0
72333612,22.0,0.0
72333613,20.0,1.0
72333614,7.0,15.0
72333615,21.0,0.0
72333616,14.0,7.0
72333617,21.0,1.0
72333618,21.0,0.0
72333619,21.0,0.0
72333620,20.0,1.0
72333621,21.0,0.0
72333622,21.0,1.0
72333623,20.0,1.0
72333624,18.0,3.0
72333625,22.0,0.0
72333626,19.0,2.0
72333627,16.0,5.0
72333628,3.0,19.0
72333629,23.0,0.0
72333630,21.0,0.0
72333631,21.0,0.0
72333632,20.0,1.0
72333633,20.0,2.0
72333634,21.0,0.0
72333635,18.0,4.0
72333636,20.0,1.0
72333637,18.0,4.0
72333638,21.0,0.0
72333639,21.0,0.0
72333640,21.0,0.0
72333641,19.0,3.0
72333642,22.0,0.0
72333643,21.0,0.0
72333644,4.0,17.0
72333645,19.0,1.0
72333646,19.0,2.0
72333647,21.0,0.0
72333648,19.0,1.0
72333649,21.0,0.0
72333650,21.0,1.0
72333651,20.0,2.0
72333652,22.0,0.0
72333653,21.0,0.0
72333654,20.0,1.0
72333655,21.0,0.0
72333656,19.0,2.0
72333657,21.0,0.0
72333658,21.0,1.0
72333659,10.0,11.0
72333660,21.0,0.0
72333661,21.0,0.0
72333662,19.0,2.0
72333663,19.0,1.0
72333664,21.0,0.0
72333665,23.0,0.0
72333666,21.0,0.0
72333667,15.0,6.0
72333668,18.0,3.0
72333669,20.0,1.0
72333670,22.0,0.0
72333671,21.0,0.0
72333672,5.0,17.0
72333673,4.0,17.0
72333674,22.0,1.0
72333675,19.0,2.0
72333676,21.0,0.0
72333677,18.0,3.0
72333678,22.0,1.0
72333679,22.0,0.0
72333680,21.0,0.0
72333681,22.0,0.0
72333682,20.0,1.0
72333683,21.0,0.0
72333684,7.0,14.0
72333685,21.0,0.0
72333686,21.0,0.0
72333687,19.0,2.0
72333688,21.0,1.0
72333689,19.0,2.0
72333690,21.0,0.0
72333691,17.0,4.0
72333692,21.0,0.0
