,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment,median_count,mean_count,mode_count,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
508,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_141.jpg,47969259,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
509,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_144.jpg,47969263,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
510,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_145.jpg,47969266,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
511,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_146.jpg,47969270,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
512,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_147.jpg,47969274,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
513,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_148.jpg,47969277,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
514,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_149.jpg,47969279,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
515,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_150.jpg,47969282,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
516,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_151.jpg,47969286,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
517,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_152.jpg,47969288,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
