,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
796,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_193.jpg,47970220,Y,0,1,2,0,3,Good,Visible,
797,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_194.jpg,47970222,Y,1,0,13,0,14,Good,Visible,One iguana that only Andres sees; consensus: 2 iguanas seen by Andrea and Andres
799,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_201.jpg,47970227,Y,1,1,13,0,15,Bad,Visible,Three iguanas only Andres sees; consensus: 15 iguanas seen by Andrea and Andres
804,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_213.jpg,47970238,Y,0,1,12,0,13,Bad,Hard,Andres and Andrea coincide in all
814,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_230.jpg,47970260,Y,0,1,0,0,1,Good,Visible,
815,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_231.jpg,47970262,Y,1,0,3,0,4,Good,Visible,
817,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_237.jpg,47970266,Y,0,1,0,0,1,Good,Visible,
819,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_252.jpg,47970270,Y,1,0,4,0,5,Good,Visible,
820,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_253.jpg,47970273,Y,0,0,8,0,8,Good,Visible,
821,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_254.jpg,47970275,Y,0,1,0,0,1,Good,Visible,
823,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_256.jpg,47970279,Y,0,1,0,0,1,Good,Visible,
824,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_257.jpg,47970281,Y,1,0,4,0,5,Good,Hard,
878,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-extra_114.jpg,47970403,Y,0,1,0,0,1,Good,Hard,
879,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-extra_115.jpg,47970405,Y,0,1,0,0,1,Good,Visible,
956,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-extra_98.jpg,47970563,Y,0,1,0,0,1,Good,Visible,
961,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-1-1_112.jpg,47978925,Y,0,1,0,0,1,Good,Visible,
975,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-1-1_130.jpg,47978993,Y,0,2,1,0,3,Good,Visible,
1007,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-1-1_167.jpg,47979161,N,0,0,0,0,0,,,
1112,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-1-2_175.jpg,47979592,Y,0,1,1,0,2,Good,Visible,
1129,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-1-2_193.jpg,47979651,Y,0,1,0,0,1,Good,Visible,
1236,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_18.jpg,48025990,Y,0,1,0,0,1,Good,Visible,
1258,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_47.jpg,48026500,Y,1,0,3,0,4,Good,Visible,
1264,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_54.jpg,48026608,Y,1,0,3,0,4,Good,Visible,
1265,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_55.jpg,48026629,Y,0,1,0,0,1,Good,Visible,
1267,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_57.jpg,47980071,Y,0,1,0,0,1,Good,Visible,
1270,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL01-2-2_60.jpg,47980090,Y,1,0,7,0,8,Good,Visible,
