,image_name_x,subject_id,Median0s,Mean0s,Max0s,Std0s,Median.r,Mean.r,Mode0s,subspecies,island,site_name,subject_group,image_name_y,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
52,SFM01-2-2-2_367.jpg,47969981,1.0,1.583333333,4,0.99620492,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_367.jpg,Y,0,1,1,0,2,Good,Visible,One iguana that only Andres sees; consensus: 2 iguanas seen by Andrea and Andres
53,SFM01-2-2-3_111.jpg,47970029,2.0,2.0,2,0.0,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_111.jpg,Y,0,0,1,0,1,Good,Visible,
54,SFM01-2-2-3_123.jpg,47970063,3.0,3.0,3,,3,3,3,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_123.jpg,Y,0,0,1,0,1,Good,Hard,
55,SFM01-2-2-3_124.jpg,47970067,1.0,1.125,2,0.353553391,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_124.jpg,Y,0,1,0,0,1,Good,Visible,
56,SFM01-2-2-3_132.jpg,47970090,2.0,1.625,2,0.51754917,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_132.jpg,Y,0,1,0,0,1,Good,Visible,
57,SFM01-2-2-3_136.jpg,47970102,4.0,5.0,12,4.123105626,4,5,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_136.jpg,N,0,0,4,0,4,Good,Hard,Seven iguanas only Andres sees; consensus: 4 iguanas seen by Andrea and Andres
58,SFM01-2-2-3_137.jpg,47970105,4.0,4.916666667,15,4.358029858,4,5,4,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_137.jpg,Y,1,1,5,0,7,Good,Hard,
59,SFM01-2-2-3_149.jpg,47970139,1.0,1.307692308,2,0.480384461,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_149.jpg,Y,0,1,0,0,1,Good,Visible,not considered number 2 marked in the imaged
60,SFM01-2-2-3_152.jpg,47970148,12.5,10.5,15,5.916079783,13,10,15,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_152.jpg,Y,1,1,6,0,8,Bad,Hard,
61,SFM01-2-2-3_175.jpg,47970197,2.0,1.571428571,2,0.534522484,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_175.jpg,Y,0,1,0,0,1,Bad,Visible,
