,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
206,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH02-1_141.jpg,72337980,Y,2,0,9,0,11,Good,Visible,
211,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH02-1_243.jpg,72338040,Y,0,0,0,1,0,Good,Visible,
212,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH02-1_246.jpg,72338043,Y,0,0,2,0,2,Good,Hard,
215,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH02-1_350.jpg,72338126,Y,0,1,1,0,2,Good,Visible,
220,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH02-1_472.jpg,72338188,Y,0,0,0,1,0,Good,Visible,
222,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH02-1_534.jpg,72338203,Y,0,1,2,0,3,Good,Visible,
230,A. c. venustissimus,Floreana,Montura,Montura,FMO01_83.jpg,72338369,Y,0,2,0,0,2,Good,Visible,
232,A. c. venustissimus,Floreana,Montura,Montura,FMO02-1_100.jpg,72338386,Y,0,0,1,0,1,Good,Hard,
242,A. c. venustissimus,Floreana,Montura,Montura,FMO03-1_65.jpg,72338628,Y,0,4,1,0,5,Good,Visible,
243,A. c. venustissimus,Floreana,Montura,Montura,FMO03-1_72.jpg,72338635,Y,1,0,3,0,4,Good,Visible,
244,A. c. venustissimus,Floreana,Montura,Montura,FMO04-1_101.jpg,72338709,Y,0,0,0,1,0,Good,Visible,
251,A. c. venustissimus,Floreana,Montura,Montura,FMO04-2_38.jpg,72338789,Y,0,2,0,0,2,Good,Visible,
252,A. c. venustissimus,Floreana,Montura,Montura,FMO05-1_103.jpg,72338799,Y,0,1,0,0,1,Good,Visible,
255,A. c. venustissimus,Floreana,Montura,Montura,FMO05-1_62.jpg,72338870,Y,0,4,2,0,6,Good,Visible,
256,A. c. venustissimus,Floreana,Montura,Montura,FMO05-1_76.jpg,72338878,Y,0,4,2,1,6,Good,Visible,
257,A. c. venustissimus,Floreana,Montura,Montura,FMO05-2_07.jpg,72338894,Y,0,0,1,0,1,Good,Visible,
258,A. c. venustissimus,Floreana,Montura,Montura,FMO05-2_157.jpg,72338927,Y,0,0,1,0,1,Good,Visible,1 iguana only Andrea sees; concensus: 1 iguana seen by all
259,A. c. venustissimus,Floreana,Montura,Montura,FMO06_185.jpg,72339017,Y,0,2,2,0,4,Good,Visible,
260,A. c. venustissimus,Floreana,Montura,Montura,FMO06_194.jpg,72339022,Y,0,0,3,0,3,Bad,Visible,
261,A. c. venustissimus,Floreana,Montura,Montura,FMO06_206.jpg,72339029,Y,2,1,4,1,7,Bad,Visible,
263,A. c. venustissimus,Floreana,Montura,Montura,FMO06_45.jpg,72339049,Y,0,2,1,2,3,Good,Visible,
277,A. c. venustissimus,Floreana,Punta Ayora,Punta Ayora,FPA02_295.jpg,72339244,Y,0,0,0,1,0,Good,Visible,
290,A. c. venustissimus,Floreana,Punta Ayora,Punta Ayora,FPA02_578.jpg,72339410,Y,1,0,11,0,12,Bad,Hard,
293,A. c. venustissimus,Floreana,Punta Ayora,Punta Ayora,FPA03_54.jpg,72339561,Y,0,1,0,0,1,Good,Visible,
295,A. c. venustissimus,Floreana,Punta Ayora,Punta Ayora,FPA04_139.jpg,72339655,Y,0,1,0,0,1,Good,Visible,
296,A. c. venustissimus,Floreana,Punta Ayora,Punta Ayora,FPA04_151.jpg,72339662,Y,1,0,23,1,24,Good,Visible,
297,A. c. venustissimus,Floreana,Punta Ayora,Punta Ayora,FPA04_67.jpg,72339744,Y,1,0,3,0,4,Bad,Visible,
305,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA01-2_18.jpg,72339565,Y,0,1,0,0,1,Good,Visible,
306,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA01-2_39.jpg,72339596,Y,1,1,3,0,5,Good,Visible,
308,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA02-1_105.jpg,72339661,Y,0,1,1,0,2,Good,Visible,
309,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA02-1_171.jpg,72339737,Y,0,0,1,0,1,Good,Visible,
310,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA02-1_62.jpg,72339801,Y,0,4,0,0,4,Good,Visible,consensus: 4 males no lek
311,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA02-1_73.jpg,72339817,Y,0,1,1,0,2,Good,Visible,
312,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA02-2_67.jpg,72339900,Y,0,1,1,0,2,Bad,Hard,
321,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA03-2_144.jpg,72340255,Y,0,1,0,0,1,Bad,Hard,
325,A. c. venustissimus,Floreana,South Coast A,South Coast A,FSCA04_120.jpg,72340425,Y,0,0,1,1,1,Good,Hard,
346,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.1-1_69.jpg,72340273,Y,0,1,0,0,1,Good,Visible,
348,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.1-1_76.jpg,72340287,Y,0,0,1,0,1,Good,Hard,
357,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.1-2_72.jpg,72340444,Y,0,1,0,0,1,Good,Visible,
361,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-1_14.jpg,72340476,Y,0,1,0,0,1,Good,Visible,
363,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-1_51.jpg,72340532,Y,0,1,1,0,2,Good,Visible,
364,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-1_56.jpg,72340542,Y,0,1,0,0,1,Good,Visible,
366,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_18.jpg,72340564,Y,0,1,0,0,1,Good,Hard,
369,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_33.jpg,72340594,Y,0,1,0,0,1,Good,Visible,
370,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_41.jpg,72340609,Y,0,0,1,0,1,Good,Visible,
371,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_43.jpg,72340613,Y,0,0,2,0,2,Good,Visible,
372,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_45.jpg,72340617,Y,0,0,4,0,4,Good,Visible,consensus: 4 others
373,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_47.jpg,72340621,Y,0,0,1,0,1,Good,Hard,
376,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_56.jpg,72340647,Y,0,1,0,0,1,Good,Visible,
377,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_58.jpg,72340652,Y,0,1,0,0,1,Good,Visible,
378,A. c. venustissimus,Floreana,South Coast E,South Coast E,FSCE-1.2-2_61.jpg,72340657,Y,0,0,0,1,0,Good,Visible,
381,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-1_131.jpg,72340808,Y,0,0,0,1,0,Good,Visible,
384,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-1_150.jpg,72340838,Y,0,0,1,0,1,Good,Visible,
385,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-1_153.jpg,72340843,Y,0,0,3,0,3,Good,Visible,consensus: 3 males no lek
387,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-1_201.jpg,72340891,Y,0,1,1,0,2,Good,Visible,
388,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-1_232.jpg,72340918,Y,0,1,1,0,2,Good,Visible,
402,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-2_286.jpg,72341093,Y,0,0,1,0,1,Good,Visible,
404,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-2_396.jpg,72341112,Y,0,0,1,0,1,Bad,Visible,
406,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-2_457.jpg,72341128,Y,0,3,0,0,3,Good,Visible,
410,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-2_522.jpg,72341166,Y,0,2,1,0,3,Good,Visible,
413,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-2_542.jpg,72341179,Y,0,0,0,2,0,Good,Visible,
414,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-2_559.jpg,72341196,Y,0,0,1,0,1,Good,Visible,
415,A. c. venustissimus,Floreana,South Coast I,South Coast I,FSCI01-2_585.jpg,72341216,Y,0,0,1,0,1,Good,Visible,
418,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ01_100.jpg,72341236,Y,0,5,0,0,5,Good,Visible,
421,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ01_140.jpg,72341273,Y,0,0,3,0,3,Good,Hard,
422,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ01_205.jpg,72341302,Y,1,1,10,0,12,Good,Visible,
423,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ01_206.jpg,72341303,Y,0,0,0,1,0,Good,Visible,
434,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-1_155.jpg,72341406,Y,0,0,1,0,1,Good,Visible,
435,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-1_156.jpg,72341407,Y,0,1,0,0,1,Good,Visible,
437,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-1_34.jpg,72341427,Y,0,0,1,0,1,Good,Visible,
439,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-1_43.jpg,72341431,Y,0,0,1,0,1,Good,Hard,
441,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-1_83.jpg,72341453,Y,0,1,4,1,5,Good,Visible,
448,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-2_208.jpg,72341545,Y,1,0,3,0,4,Bad,Visible,
449,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-2_220.jpg,72341559,Y,0,0,1,0,1,Good,Visible,
450,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-2_233.jpg,72341570,Y,0,0,1,0,1,Good,Visible,
451,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-2_243.jpg,72341576,Y,0,0,3,1,3,Good,Hard,
453,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-2_269.jpg,72341593,Y,0,0,5,0,5,Bad,Visible,
455,A. c. venustissimus,Floreana,South Coast J,South Coast J,FSCJ02-2_93.jpg,72341627,Y,0,1,0,0,1,Good,Visible,
